qid,country_of_origin,country,located_in,part_of_culture,instance_of,heritage_status
Q32786,['q668'],[],[],[],['q11424'],[]
Q371,['q30'],[],[],[],['q215380'],[]
Q3729947,['q29'],[],[],[],['q1004'],[]
Q158611,['q30'],[],[],[],['q215380'],[]
Q280375,[],['q145'],"['q156990', 'q33225185']",[],['q41176'],['q15700834']
Q104414508,[],[],[],[],['q16889133'],[]
Q3008535,[],['q701025'],[],[],"['q79602', 'q13418847']",[]
Q85720601,[],[],[],[],['q571'],[]
Q105570,[],['q36'],['q319397'],[],"['q13418847', 'q1344887', 'q930164', 'q25906438', 'q81672']",[]
Q434841,[],['q30'],[],[],"['q375336', 'q1762059', 'q10689397', 'q11396960']",[]
Q4630640,[],['q142'],[],[],['q2915955'],[]
Q5476713,[],['q30'],[],[],"['q1331793', 'q219577', 'q891723', 'q10689397', 'q375336']",[]
Q219293,['q30'],['q30'],[],[],"['q41298', 'q3083944']",[]
Q131401366,[],['q30'],[],[],"['q4504495', 'q289']",[]
Q520959,[],['q145'],"['q156990', 'q33225185']",[],['q41176'],['q15700834']
Q4635677,[],[],[],[],['q1331793'],[]
Q2850042,[],[],[],[],['q3516833'],[]
Q229390,[],[],[],[],['q110900120'],[]
Q2180721,[],['q30'],[],[],['q220505'],[]
Q1060398,[],[],[],[],[],[]
Q4639659,['q30'],[],[],[],['q21980538'],[]
Q275936,[],['q30'],['q1297'],[],['q811979'],[]
Q1758841,[],['q55'],[],[],['q11483816'],[]
Q3602929,[],"['q30', 'q159', 'q142']","['q11299', 'q60']",[],"['q1007870', 'q4830453', 'q3267025']",[]
Q3728308,['q29'],[],[],[],['q1004'],[]
Q85739206,['q145'],[],[],[],['q571'],[]
Q614986,[],[],[],[],['q3305213'],[]
Q23912,[],[],[],[],"['q3305213', 'q2647254']",[]
Q277763,[],['q17'],[],[],['q1107679'],[]
Q9513,[],[],[],[],['q5'],[]
Q1945630,[],[],[],[],['q12973014'],[]
Q301092,[],['q145'],[],[],"['q1107679', 'q375336', 'q1762059']",[]
Q2708661,[],[],[],[],['q5'],[]
Q30556,[],[],[],[],['q5'],[]
Q55210,[],[],[],[],['q5'],[]
Q157550,[],['q183'],['q524939'],[],"['q160742', 'q44613', 'q33506']","['q43113623', 'q9259']"
Q262737,[],['q145'],[],[],"['q786820', 'q936518', 'q15081030']",[]
Q84044419,[],[],[],[],['q5'],[]
Q9457,[],[],[],[],['q5'],[]
Q25350,[],[],[],[],['q16521'],[]
Q59647,[],['q16'],['q1904'],[],['q4022'],[]
Q322956,[],['q408'],[],[],"['q327333', 'q110376455']",[]
Q91,[],[],[],[],['q5'],[]
Q4650387,[],['q928'],[],[],['q1331793'],[]
Q2822053,[],[],[],[],['q189819'],[]
Q332564,[],[],[],[],['q201658'],[]
Q7849,[],['q878'],[],[],"['q18608583', 'q108886259']",[]
Q5670,[],[],[],[],['q5'],[]
Q2704613,[],[],[],[],['q5'],[]
Q337429,[],['q45'],[],[],"['q476028', 'q847017']",[]
Q288066,[],[],[],[],['q18608583'],[]
Q4672263,['q145'],[],[],[],['q431289'],[]
Q16001522,[],[],[],[],"['q2915955', 'q7225120', 'q9357091']",[]
Q4672374,[],[],[],[],[],[]
Q83390,['q1747689'],[],[],"['q11772', 'q1747689']","['q484692', 'q188451', 'q862597']",[]
Q419736,[],[],[],[],[],[]
Q706884,[],[],[],[],['q7748'],[]
Q1863064,[],[],[],[],"['q66715801', 'q12737077']",[]
Q42292,[],[],[],[],['q16521'],[]
Q386510,[],[],[],[],['q16521'],[]
Q236932,['q30'],[],[],[],['q188451'],[]
Q196188,[],[],[],[],[],[]
Q423918,[],[],[],[],['q188451'],[]
Q288838,[],['q664'],[],[],['q7278'],[]
Q188473,[],[],[],[],['q201658'],[]
Q4010939,[],[],[],[],['q109733629'],[]
Q4677625,[],[],[],[],[],[]
Q344394,[],['q30'],['q506230'],[],"['q3957', 'q123705']",[]
Q4677709,[],[],[],[],['q28640'],[]
Q21169216,[],[],[],[],"['q12737077', 'q28640']",[]
Q289953,[],['q183'],[],[],"['q6918183', 'q2085381', 'q337810', 'q15911314', 'q163740']",[]
Q4214,[],[],[],[],['q5'],[]
Q310285,[],[],[],[],['q5'],[]
Q352270,[],['q43'],[],[],"['q847017', 'q476028']",[]
Q31353,[],[],[],[],['q5'],[]
Q367540,[],[],[],[],['q189819'],[]
Q1306755,[],[],[],[],[],[]
Q13455645,[],['q27'],[],[],[],[]
Q515244,[],[],[],[],[],[]
Q358832,[],[],[],[],['q4164871'],[]
Q3270129,[],['q148'],['q312485'],[],['q2221906'],[]
Q289078,[],['q736'],[],[],['q7278'],[]
Q98756,[],[],[],[],['q5'],[]
Q183496,[],[],[],[],['q206615'],[]
Q78125,[],[],[],[],['q5'],[]
Q5327,[],[],[],[],['q5'],[]
Q87827,[],[],[],[],['q5'],[]
Q16001865,[],[],[],[],[],[]
Q123621,[],[],[],[],['q5'],[]
Q373699,[],[],[],[],['q5'],[]
Q373765,[],[],[],[],['q5'],[]
Q80994,[],[],[],[],"['q785260', 'q185836', 'q5932254', 'q851990']",[]
Q3249257,[],[],[],[],['q483394'],[]
Q379222,[],['q30'],[],[],['q1331793'],[]
Q16001911,[],[],[],[],['q289'],[]
Q319221,[],[],[],[],['q201658'],[]
Q3773427,[],[],[],[],['q96239483'],[]
Q381276,[],[],[],[],"['q431289', 'q786820']",[]
Q193124,[],[],[],[],[],[]
Q376771,[],['q39'],[],[],['q334166'],[]
Q62447,[],[],[],[],[],[]
Q365873,[],[],[],[],[],[]
Q381564,[],['q191'],[],[],"['q740752', 'q4830453', 'q46970']",[]
Q4688512,[],['q145'],[],[],"['q4830453', 'q2519914', 'q28823']",[]
Q35986,[],[],[],[],"['q22811234', 'q1047113', 'q2267705']",[]
Q291566,[],['q34'],['q505018'],[],['q41176'],[]
Q4688848,[],[],[],[],"['q6460735', 'q13418847']",[]
Q59059,[],[],[],[],[],[]
Q4384867,[],[],[],[],[],[]
Q387407,[],[],[],[],"['q107357104', 'q108437325']",[]
Q3070125,[],"['q29', 'q1028']",[],[],['q220505'],[]
Q15276542,[],[],[],[],[],[]
Q4689646,[],['q30'],[],[],[],[]
Q3070379,[],['q38'],[],[],['q220505'],[]
Q123050602,[],[],[],[],"['q2267705', 'q2915955']",[]
Q384559,[],['q145'],[],[],['q786820'],[]
