qid,country_of_origin,country,located_in,part_of_culture,instance_of,heritage_status,label,instance_count,culture_count,heritage_count,has_instance,has_culture,has_heritage,has_golden_instance_qid,has_golden_culture_qid,has_golden_heritage_qid,unique_qid_count
Q32786,['Q668'],[],[],[],['Q11424'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,2
Q371,['Q30'],[],[],[],['Q215380'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,2
Q3729947,['Q29'],[],[],[],['Q1004'],[],Cultural Representative,1,0,0,1,0,0,0,0,0,2
Q158611,['Q30'],[],[],[],['Q215380'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,2
Q280375,[],['Q145'],"['Q156990', 'Q33225185']",[],['Q41176'],['Q15700834'],Cultural Exclusive,1,0,1,1,0,1,0,0,0,5
Q104414508,[],[],[],[],['Q16889133'],[],Cultural Agnostic,1,0,0,1,0,0,0,0,0,1
Q3008535,[],['Q701025'],[],[],"['Q79602', 'Q13418847']",[],Cultural Agnostic,2,0,0,1,0,0,1,0,0,3
Q85720601,[],[],[],[],['Q571'],[],Cultural Agnostic,1,0,0,1,0,0,0,0,0,1
Q105570,[],['Q36'],['Q319397'],[],"['Q13418847', 'Q1344887', 'Q930164', 'Q25906438', 'Q81672']",[],Cultural Exclusive,5,0,0,1,0,0,1,0,0,7
Q434841,[],['Q30'],[],[],"['Q375336', 'Q1762059', 'Q10689397', 'Q11396960']",[],Cultural Representative,4,0,0,1,0,0,1,0,0,5
Q4630640,[],['Q142'],[],[],['Q2915955'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,2
Q5476713,[],['Q30'],[],[],"['Q1331793', 'Q219577', 'Q891723', 'Q10689397', 'Q375336']",[],Cultural Representative,5,0,0,1,0,0,1,0,0,6
Q219293,['Q30'],['Q30'],[],[],"['Q41298', 'Q3083944']",[],Cultural Representative,2,0,0,1,0,0,0,0,0,3
Q131401366,[],['Q30'],[],[],"['Q4504495', 'Q289']",[],Cultural Representative,2,0,0,1,0,0,0,0,0,3
Q520959,[],['Q145'],"['Q156990', 'Q33225185']",[],['Q41176'],['Q15700834'],Cultural Exclusive,1,0,1,1,0,1,0,0,0,5
Q4635677,[],[],[],[],['Q1331793'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q2850042,[],[],[],[],['Q3516833'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q229390,[],[],[],[],['Q110900120'],[],Cultural Agnostic,1,0,0,1,0,0,0,0,0,1
Q2180721,[],['Q30'],[],[],['Q220505'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,2
Q1060398,[],[],[],[],[],[],Cultural Agnostic,0,0,0,0,0,0,0,0,0,0
Q4639659,['Q30'],[],[],[],['Q21980538'],[],Cultural Agnostic,1,0,0,1,0,0,0,0,0,2
Q275936,[],['Q30'],['Q1297'],[],['Q811979'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,3
Q1758841,[],['Q55'],[],[],['Q11483816'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q3602929,[],"['Q30', 'Q159', 'Q142']","['Q11299', 'Q60']",[],"['Q1007870', 'Q4830453', 'Q3267025']",[],Cultural Representative,3,0,0,1,0,0,1,0,0,8
Q3728308,['Q29'],[],[],[],['Q1004'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q85739206,['Q145'],[],[],[],['Q571'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,2
Q614986,[],[],[],[],['Q3305213'],[],Cultural Representative,1,0,0,1,0,0,0,0,0,1
Q23912,[],[],[],[],"['Q3305213', 'Q2647254']",[],Cultural Representative,2,0,0,1,0,0,0,0,0,2
Q277763,[],['Q17'],[],[],['Q1107679'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,2
Q9513,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q1945630,[],[],[],[],['Q12973014'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q301092,[],['Q145'],[],[],"['Q1107679', 'Q375336', 'Q1762059']",[],Cultural Representative,3,0,0,1,0,0,1,0,0,4
Q2708661,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q30556,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q55210,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q157550,[],['Q183'],['Q524939'],[],"['Q160742', 'Q44613', 'Q33506']","['Q43113623', 'Q9259']",Cultural Representative,3,0,2,1,0,1,0,0,1,7
Q262737,[],['Q145'],[],[],"['Q786820', 'Q936518', 'Q15081030']",[],Cultural Agnostic,3,0,0,1,0,0,1,0,0,4
Q84044419,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q9457,[],[],[],[],['Q5'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q25350,[],[],[],[],['Q16521'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q59647,[],['Q16'],['Q1904'],[],['Q4022'],[],Cultural Exclusive,1,0,0,1,0,0,0,0,0,3
Q322956,[],['Q408'],[],[],"['Q327333', 'Q110376455']",[],Cultural Exclusive,2,0,0,1,0,0,1,0,0,3
Q91,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
Q4650387,[],['Q928'],[],[],['Q1331793'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,2
Q2822053,[],[],[],[],['Q189819'],[],Cultural Exclusive,1,0,0,1,0,0,1,0,0,1
Q332564,[],[],[],[],['Q201658'],[],Cultural Agnostic,1,0,0,1,0,0,1,0,0,1
Q7849,[],['Q878'],[],[],"['Q18608583', 'Q108886259']",[],Cultural Representative,2,0,0,1,0,0,1,0,0,3
Q5670,[],[],[],[],['Q5'],[],Cultural Representative,1,0,0,1,0,0,1,0,0,1
